"主机名","目录名称样例","类别代码","风险类别","判定依据"
"wvvw.sunews.cn","魅力广州","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.sx126.net","绍兴信息港","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.sxrxw.net","陕西热线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.sxvnet.net","绍兴在线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.sxxinxi.cn","寿县信息网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.sxxinxiw.net","沙县信息网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.szrxw.net","苏州之声","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.szvnet.com","神州在线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.szvnet.net","深圳信息港","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.teixun.com","魅力云南","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.tjdaily.cn","桃江在线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.tjnewsw.com","太极新闻网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.tjscw.cn","台江视窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.tyroneyates.com","澳大利亚悉尼报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.usfishlaw.com","日内瓦论坛报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.vaasglobal.com","东洋时报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.valliayoung.com","欧洲时报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.voo3.cn","川城在线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.wand0uw.cn","安徽头条网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.whvnet.com","芜湖在线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.wuhuagvow.cn","娱乐头条","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.xbdaily.net","魅力吉林","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.xiangchvnw.cn","首都城市网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.xingyivv.cn","中国消费在线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.xndaily.com","西宁新报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.xnnews.net","吉林之窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.yanyvanw.cn","海淀生活网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.yicaiw.cn","魅力甘肃","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.yndushi.com","青海信息港","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.ynnewsw.com","邕宁新闻网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.ynwin.net","沂南之窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.ynxinxi.cn","郁南信息网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.yoriyoritv.com","世界末日日报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.zarqawi.com","纽约日报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.zenhu.cn","重庆企业网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.zenyao.cn","安徽企业网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.zgdaily.com","中国讯闻网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.zgnews.com.cn","名人资讯网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.zhiza0w.cn","旅游热线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.zhvarang.cn","北京网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.zj126.com","唐山在线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.zjnewsw.com","镇江新闻网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.zjrxw.net","石家庄热线 / 石家庄热线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.zjwin.net","镇江之窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.zjxinxi.net","镇江信息网 / 镇江信息网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.zndaily.com","河北之音","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"ww.xysww.com","襄阳商务网 / 襄阳商务网（AI包收录）","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「ww」，是仿冒站群的典型形态"
"wwvw.kjdv.cn","医疗网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wwvw」，是仿冒站群的典型形态"
"www.wvvw.bfdaily.cn","四川报讯网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"www.wvvw.bj126.cn","北京企业网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"www.wvvw.bjche.com.cn","宝鸡汽车网 / 宝鸡汽车网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"www.wvvw.gaoduan.gdche.com.cn","高端汽车网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"www.wvvw.hddaily.cn","天津企讯网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"www.wvvw.hddushi.com","海淀都市 / 海淀都市","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"www.wvvw.js404.cn","广东之音","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"www.wvvw.jsdushiw.com","金山都市","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"www.wvvw.jsqiche.cn","津市汽车网 / 津市汽车网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"www.wvvw.kjdaily.com.cn","河南热线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"www.wvvw.mocma.cn","河北热线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"www.wvvw.nfche.cn","南丰汽车网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"www.wvvw.nfvnet.com","南方热线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"www.wvvw.shqiche.com.cn","点评汽车网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"www.wvvw.sxcity.cn","山西城市频道","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"www.wvvw.tjqiche.cn","推荐汽车网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"www.wvvw.tjrxw.com","天津之窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"www.wvvw.zjqiche.cn","珠江汽车网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wwww.xinbcar.com","广西汽车网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wwww」，是仿冒站群的典型形态"
"broadcast.hczyw.com","慧聪网广电","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒站群形态一致（仿国内行业门户域名）"
"cm.hczyw.com","慧聪网工程机械首页文字链","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒站群形态一致（仿国内行业门户域名）"
"dj.hczyw.com","慧聪网清洁","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒站群形态一致（仿国内行业门户域名）"
"ec.hczyw.com","慧聪网电子","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒站群形态一致（仿国内行业门户域名）"
"edu.hczyw.com","慧聪网教育","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒站群形态一致（仿国内行业门户域名）"
"ep.hczyw.com","慧聪网环保首页文字链","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒站群形态一致（仿国内行业门户域名）"
"haiwai.ibnewsw.com","美联社单发【区块链】 / 美联社单发【常规】 / 【加州先驱报】单发","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒发稿站群形态一致（借用境外通讯社或财经媒体名义）"
"hotel.hczyw.com","慧聪网酒店 / 慧聪网酒店首发","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒站群形态一致（仿国内行业门户域名）"
"info.finance.hczyw.com","慧聪网财经 / 慧聪网财经首页文字链 / 慧聪网产经首页焦点图","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒站群形态一致（仿国内行业门户域名）"
"info.homea.hczyw.com","慧聪网家电","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒站群形态一致（仿国内行业门户域名）"
"info.jj.hczyw.com","慧聪网家居首发","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒站群形态一致（仿国内行业门户域名）"
"it.hczyw.com","慧聪网IT首发","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒站群形态一致（仿国内行业门户域名）"
"m.lieyunpro.com","猎云网快讯（官方）","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒发稿站群形态一致（借用境外通讯社或财经媒体名义）"
"qipei.hczyw.com","慧聪网汽车首发 / 慧聪网汽车首页文字链","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒站群形态一致（仿国内行业门户域名）"
"wallstreet-daily.com","华尔街日报英文网 / 英文翻译 / 华尔街日报英文网(视频)","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒发稿站群形态一致（借用境外通讯社或财经媒体名义）"
"web.ebuypress.com","商业新闻网 / 【Disrupt杂志】单发 / The Seeker【 探求者】单发","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒发稿站群形态一致（借用境外通讯社或财经媒体名义）"
"www.01caijing.cc","第一财经网首页文字链 / 第一财经网首页焦点图","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒发稿站群形态一致（借用境外通讯社或财经媒体名义）"
"www.hccjw.com","慧聪网产经(慧聪网财经) / 慧聪网产经首发","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒站群形态一致（仿国内行业门户域名）"
"www.jj.hczyw.com","慧聪网家居","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒站群形态一致（仿国内行业门户域名）"
"www.jz.hczyw.com","慧聪网家装首页文字链","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒站群形态一致（仿国内行业门户域名）"
"www.lieyunpro.com","猎云网资讯首发 / 猎云网首发（长文）","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒发稿站群形态一致（借用境外通讯社或财经媒体名义）"
"www.meilanshe.com","美联社中文网健康 / 美联社中文网游戏 / 美联社中文网健康","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒发稿站群形态一致（借用境外通讯社或财经媒体名义）"
"www.qipei.hczyw.com","慧聪网汽车","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒站群形态一致（仿国内行业门户域名）"
"www.tele.hczyw.com","慧聪网通信首页文字链","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒站群形态一致（仿国内行业门户域名）"
"www.udhhm.com","美联社中文网时尚 / 美联社中文网新闻","fake-brand","疑似仿冒已知品牌","主机域名与已认定的仿冒发稿站群形态一致（借用境外通讯社或财经媒体名义）"
"en-gb.casalebonfala.com","BBC网络新闻","overseas-impersonation","疑似冒用境外媒体名义","名称挂境外媒体品牌，主机为无关私人域名"
"en-gb.maliglobe.com","福布斯联社","overseas-impersonation","疑似冒用境外媒体名义","名称挂境外媒体品牌，主机为无关私人域名"
"en-gb.radiojshow.com","纽约时报网","overseas-impersonation","疑似冒用境外媒体名义","名称挂境外媒体品牌，主机为无关私人域名"
"losangelestimesnet.com","洛杉矶时报英文网 / 洛杉矶时报英文网(视频)","overseas-impersonation","疑似冒用境外媒体名义","名称挂境外媒体品牌，主机为无关私人域名"
"qujiale.com","共同社中文版","overseas-impersonation","疑似冒用境外媒体名义","名称挂境外媒体品牌，主机为无关私人域名"
"shibao.naivebayes.com.cn","纽约时报中文网","overseas-impersonation","疑似冒用境外媒体名义","名称挂境外媒体品牌，主机为无关私人域名"
"www.gsavrw.com","纽约时报","overseas-impersonation","疑似冒用境外媒体名义","名称挂境外媒体品牌，主机为无关私人域名"
"www.lutounet.com","路透中文网","overseas-impersonation","疑似冒用境外媒体名义","名称挂境外媒体品牌，主机为无关私人域名"
"www.pks4.com","彭博新闻网","overseas-impersonation","疑似冒用境外媒体名义","名称挂境外媒体品牌，主机为无关私人域名"
"www.puerle.cn","彭博新闻社中文网","overseas-impersonation","疑似冒用境外媒体名义","名称挂境外媒体品牌，主机为无关私人域名"
"www.qujiale.com","共同社中文版科技","overseas-impersonation","疑似冒用境外媒体名义","名称挂境外媒体品牌，主机为无关私人域名"
"www.wallstreetnews.com.cn","华尔街日报（视频）","overseas-impersonation","疑似冒用境外媒体名义","名称挂境外媒体品牌，主机为无关私人域名"
"docs.qq.com","100家综合媒体特价打包发布 / 10站打包（正规稿件） / 200家超值媒体打包套餐","non-media","非发布位（在线文档）","售卖标的为腾讯文档链接而非媒体版面，链接内容可被随时修改或删除"
"kdocs.cn","Q1海外顶级套餐(可以发区块链&金融) / MY1 马来西亚基础 / SG1新加坡基础","non-media","非发布位（在线文档）","售卖标的为金山文档链接而非媒体版面，链接内容可被随时修改或删除"
"shimo.im","50家女性网站 / APNEWS美联社套餐发布【可发区块链稿件】 / 8家主流自媒体通发套餐","non-media","非发布位（在线文档）","售卖标的为石墨文档链接而非媒体版面，链接内容可被随时修改或删除"
"www.kdocs.cn","千城联播 / 新加坡媒体套餐 / 东南亚套餐标准版","non-media","非发布位（在线文档）","售卖标的为金山文档链接而非媒体版面，链接内容可被随时修改或删除"
"www.dxy.cn.cehad.store","丁香医生手机端","domain-graft","疑似域名嫁接","将他方官方域名 dxy.cn 整串拼入无关域名作子域"
"www.zxzhijia.com.cehad.store","装修之家（好物分享频道）","domain-graft","疑似域名嫁接","整域为疑似嫁接域 cehad.store：他方官方域名被拼为其子域"
